买卖价,合约名称,开盘,成交量,成交金额,持仓量,昨结算,最低,最新价,最高,涨跌,现手,走势图
16869/17362,ag2601,18500,7752,2132032080,2608,17978,16862,16867,19026,-1111,,
17103/17104,ag2602,18508,735853,199772765265,146798,17859,16900,17103,18877,-756,2,
17074/17080,ag2603,18496,188459,51248020080,22502,17862,16887,17080,18877,-782,,
17074/17076,ag2604,18518,2299506,622157748540,222892,17836,16870,17074,18875,-762,6,
17068/17071,ag2605,18500,166585,45177834090,24373,17839,16866,17069,18865,-770,,
17073/17075,ag2606,18430,253934,68489702745,104920,17849,16854,17074,18840,-775,,
17050/17080,ag2607,18498,17346,4653527070,14662,17887,16859,17070,18828,-817,,
17055/17060,ag2608,18477,115854,31393714260,44538,17858,16840,17057,18823,-801,,
17035/17069,ag2609,18421,21411,5796862410,13605,17918,16855,17068,18835,-850,,
17075/17084,ag2610,18354,43445,11599295340,25043,17902,16840,17075,18860,-827,,
17041/17066,ag2611,18480,10811,2916480735,9257,17871,16824,17060,18870,-811,,
17021/17069,ag2612,18526,22176,5969338095,9683,17889,16860,17068,18886,-821,,
